select	0.000	0.000049
select	0.071	0.000049
select	0.143	0.000050
select	0.214	0.000051
select	0.286	0.000054
select	0.357	0.000054
select	0.429	0.000055
select	0.500	0.000055
select	0.571	0.000056
select	0.643	0.000056
select	0.714	0.000059
select	0.786	0.000060
select	0.857	0.000085
select	0.929	0.000099
select	1.000	0.000507
connect	0.000	0.005045
connect	0.071	0.005741
connect	0.143	0.005769
connect	0.214	0.005796
connect	0.286	0.005797
connect	0.357	0.005810
connect	0.429	0.005865
connect	0.500	0.005924
connect	0.571	0.005989
connect	0.643	0.005996
connect	0.714	0.006014
connect	0.786	0.006053
connect	0.857	0.006057
connect	0.929	0.006288
connect	1.000	0.008662
