select	0.000	0.000011
select	0.071	0.000011
select	0.143	0.000011
select	0.214	0.000011
select	0.286	0.000011
select	0.357	0.000011
select	0.429	0.000011
select	0.500	0.000011
select	0.571	0.000011
select	0.643	0.000012
select	0.714	0.000012
select	0.786	0.000012
select	0.857	0.000014
select	0.929	0.000022
select	1.000	0.000394
connect	0.000	0.001506
connect	0.071	0.001605
connect	0.143	0.001693
connect	0.214	0.001807
connect	0.286	0.001834
connect	0.357	0.001866
connect	0.429	0.001878
connect	0.500	0.002165
connect	0.571	0.002190
connect	0.643	0.002288
connect	0.714	0.002412
connect	0.786	0.002467
connect	0.857	0.002533
connect	0.929	0.002588
connect	1.000	0.002795
