select	0.000	0.000034
select	0.071	0.000035
select	0.143	0.000035
select	0.214	0.000035
select	0.286	0.000035
select	0.357	0.000036
select	0.429	0.000039
select	0.500	0.000041
select	0.571	0.000045
select	0.643	0.000096
select	0.714	0.000101
select	0.786	0.000130
select	0.857	0.000137
select	0.929	0.000144
select	1.000	0.000458
connect	0.000	0.004362
connect	0.071	0.004402
connect	0.143	0.004497
connect	0.214	0.004519
connect	0.286	0.004542
connect	0.357	0.004543
connect	0.429	0.004587
connect	0.500	0.004599
connect	0.571	0.004610
connect	0.643	0.004652
connect	0.714	0.004704
connect	0.786	0.004714
connect	0.857	0.005139
connect	0.929	0.005190
connect	1.000	0.005749
